City,Avg_Household_Size,Pct_Divorced,Pct_Never_Married,Pct_Married,Cluster
Adana,3.2517096061213775,0.0605421669838382,0.293254629863532,0.5895658959115737,2
Adıyaman,3.58942870182135,0.0243034648858722,0.3072155016694948,0.6202725929169631,0
Afyonkarahisar,3.121008963466624,0.043559263350535,0.2458213113943251,0.6400359421627949,3
Ağrı,4.234780976555866,0.0146320374140816,0.3616266128396201,0.5817352211748279,1
Amasya,2.793709814857851,0.0419233407738354,0.2439556077125853,0.6332900368078505,3
Ankara,2.8636177446236344,0.0639520636493519,0.2893606523416087,0.59559531855359,2
Antalya,2.898380278241756,0.0765269453122751,0.2819374851927543,0.5953174784174016,2
Artvin,2.637280969761028,0.0343811875992639,0.2643727217390696,0.613956775136958,3
Aydın,2.7184858455098824,0.0705980177698004,0.2406290216718202,0.6144697240559986,2
Balıkesir,2.57893760254852,0.0646106546651006,0.2196398611898043,0.6312264169136128,2
Bilecik,2.801163391933816,0.0464427243435428,0.2568000126979424,0.6263577539456211,3
Bingöl,3.2850746807563156,0.0174383448224535,0.3439944926646386,0.5909640627761807,0
Bitlis,3.9446609420667462,0.0120329989965993,0.3585185590073751,0.589464683811673,1
Bolu,2.774297181445044,0.0469461789637339,0.2694675881463979,0.6142723052335168,3
Burdur,2.642488063989418,0.048087436343602,0.2586885399338867,0.6155812993775819,3
Bursa,3.0634662616153023,0.0524010009543222,0.2564772387110222,0.6310576545277436,3
Çanakkale,2.513213545266068,0.0601168376594053,0.2371040280181529,0.6213094890242482,2
Çankırı,2.690447212001132,0.036798118217296,0.2387096007745721,0.6438393594335644,3
Çorum,2.713760892937217,0.0454642973311525,0.2249523049346802,0.647328730307763,3
Denizli,2.796156180895807,0.063503975801462,0.2418570544696258,0.6277148880588465,2
Diyarbakır,4.088244349463923,0.0203563787930949,0.3679309804259086,0.5751787426843064,1
Edirne,2.6047450616186167,0.0557520614785435,0.2536209960008141,0.6048452309571092,3
Elazığ,3.0135629664854138,0.0372017019177406,0.306209533205895,0.5962693469815625,0
Erzincan,2.7341692090185283,0.0429350410229951,0.3005250538711341,0.5883486600503809,3
Erzurum,3.3553684937154253,0.0230805067973476,0.3290417158530049,0.5873356709250067,0
Eskişehir,2.556829803615136,0.0663579434150101,0.2760486849288673,0.5890324030957963,2
Gaziantep,3.669158127181512,0.0372039960571697,0.30109802650374,0.6202509612698285,0
Giresun,2.4975864934710095,0.0469553931490551,0.2457291038972409,0.6186606098999294,3
Gümüşhane,2.674172794117647,0.0281043067604332,0.3187379155758602,0.5844326951046319,0
Hakkari,4.313695209305382,0.0081331777728495,0.4438294877110432,0.5190770506503649,1
Hatay,3.323719466519721,0.0422339864756712,0.2909239166415952,0.6133800178838256,0
Isparta,2.7057106484755744,0.0465953776050428,0.2643760143618839,0.6188367842945155,3
